id,calories,proteins,fat,carbohydrate,name,image
232,332.35,23.04,6.0,48.77,Healthy protein balls,https://images.openfoodfacts.org/images/products/899/721/077/0705/front_en.3.400.jpg
233,233.33,0.0,23.33,6.67,Coconut milk,https://images.openfoodfacts.org/images/products/899/271/778/1230/front_en.3.400.jpg
234,40.0,0.0,0.0,10.0,Coca Cola,https://images.openfoodfacts.org/images/products/899/276/100/2015/front_fr.4.400.jpg
235,371.43,7.14,10.0,62.86,Nouille volcano chicken noodle,https://images.openfoodfacts.org/images/products/064/843/610/1283/front_en.54.400.jpg
236,333.0,3.33,10.0,60.0,Bendera susu Kental Manis,https://images.openfoodfacts.org/images/products/899/275/303/1894/front_id.11.400.jpg
237,520.0,4.0,28.0,60.0,Pringles Hot & Spicy,https://images.openfoodfacts.org/images/products/888/646/710/0055/front_id.23.400.jpg
238,60.0,0.5,1.25,11.5,Abc Kopi Susu,https://images.openfoodfacts.org/images/products/899/100/212/2017/front_en.8.400.jpg
239,2.15,0.0,45.0,7.0,Nextar brownies,https://images.openfoodfacts.org/images/products/899/317/554/0797/front_id.29.400.jpg
240,516.13,6.45,25.81,64.52,Cream crackers,https://images.openfoodfacts.org/images/products/955/608/530/2726/front_en.7.400.jpg
241,500.0,1.0,6.0,12.0,Mister Potato Crisps Roasted Beef,https://images.openfoodfacts.org/images/products/899/300/478/6853/front_id.17.400.jpg
242,376.0,5.8,1.0,84.0,Swiss jungle crunch,https://images.openfoodfacts.org/images/products/761/002/305/3728/front_fr.3.400.jpg
243,542.0,8.33,33.3,54.2,kalpa,https://images.openfoodfacts.org/images/products/899/600/135/4001/front_id.10.400.jpg
244,50.0,0.5,0.5,11.0,Kapal Api Original Black Cofee,https://images.openfoodfacts.org/images/products/899/100/212/5001/front_en.3.400.jpg
245,90.0,1.0,0.5,21.0,Gilus Mix Sweet Ginger,https://images.openfoodfacts.org/images/products/899/866/600/3072/front_en.3.400.jpg
246,0.0,0.0,0.0,2.0,Diabtx,https://images.openfoodfacts.org/images/products/074/992/100/0323/front_en.3.400.jpg
247,250.0,6.25,1.56,53.1,Milo cup,https://images.openfoodfacts.org/images/products/899/269/642/8287/front_en.5.400.jpg
248,381.0,3.7,3.7,74.07,Mentos,https://images.openfoodfacts.org/images/products/899/080/002/0013/front_ru.10.400.jpg
249,0.0,2.0,4.0,3.0,Kraft All in 1 160g,https://images.openfoodfacts.org/images/products/762/221/055/7858/front_id.3.400.jpg
250,400.0,10.8,9.23,67.7,Lemonilo Mi Goreng,https://images.openfoodfacts.org/images/products/899/722/213/0016/front_en.4.400.jpg
251,0.0,0.0,0.0,1.0,FROZZ,https://images.openfoodfacts.org/images/products/899/868/505/1306/front_id.4.400.jpg
252,5.0,0.0,0.0,2.0,Nutrijell Jelly Powder,https://images.openfoodfacts.org/images/products/899/293/332/0114/front_en.17.400.jpg
253,160.0,5.0,5.0,24.0,Frisian Flag Swiss Chocolate 946 ml,https://images.openfoodfacts.org/images/products/899/275/300/5482/front_id.7.400.jpg
254,15.0,0.0,1.0,2.0,Fiber Creme,https://images.openfoodfacts.org/images/products/899/721/427/0041/front_id.18.400.jpg
255,25.0,0.0,0.0,5.0,Indofood,https://images.openfoodfacts.org/images/products/008/968/640/0038/front_id.12.400.jpg
256,500.0,10.0,20.0,70.0,Nabati White,https://images.openfoodfacts.org/images/products/899/317/553/9821/front_id.15.400.jpg
257,120.0,0.0,0.0,30.0,Buavita Juice Jambu 245ml,https://images.openfoodfacts.org/images/products/899/800/902/0186/front_en.17.400.jpg
258,150.0,2.0,6.0,21.0,Crispy Crackers,https://images.openfoodfacts.org/images/products/888/816/633/6568/front_id.3.400.jpg
259,500.0,10.0,30.0,60.0,Chocolate Stick,https://images.openfoodfacts.org/images/products/899/600/137/0063/front_en.3.400.jpg
260,566.67,13.33,33.33,50.0,Roasted Coasted Cashew,https://images.openfoodfacts.org/images/products/899/100/250/7685/front_en.3.400.jpg
261,170.0,4.0,3.5,32.0,Doriyaki,https://images.openfoodfacts.org/images/products/899/290/795/2549/front_fr.3.400.jpg
262,75.0,4.5,3.0,8.0,High Calcium Strawberry Milk,https://images.openfoodfacts.org/images/products/899/989/896/9846/front_id.3.400.jpg
263,533.0,16.7,33.3,40.0,Soyjoy Choco Almond  E-2B,https://images.openfoodfacts.org/images/products/899/703/560/0928/front_id.7.400.jpg
264,493.0,8.6,20.9,67.6,Indo mie Fried noodles,https://images.openfoodfacts.org/images/products/008/968/618/0633/front_en.19.400.jpg
265,23.0,1.2,0.2,3.5,Ciao Italian Peeled Tomatos Sauce,https://images.openfoodfacts.org/images/products/800/440/211/0161/front_en.7.400.jpg
266,0.0,0.1,0.0,0.2,Nestea Milk Tea Instant Mixed Powder 35G. Pack,No Image Available
