calories,proteins,fat,carbohydrate
287.0,31.0,15.7,1.7
50.0,10.8,0.0,0.8
132.0,9.0,7.2,7.8
340.0,30.0,30.0,52.0
133.0,1.11,5.56,20.0
50.0,3.7,1.0,9.0
100.0,14.7,2.4,4.9
410.0,9.0,20.0,9.0
80.0,10.0,7.5,80.0
453.0,11.9,45.0,0.0
99.0,5.0,1.3,21.3
83.0,2.0,0.1,19.1
348.0,18.7,29.5,0.0
184.0,18.8,14.0,0.0
44.0,2.7,0.3,7.8
154.0,3.0,4.5,25.5
367.0,59.0,11.1,6.0
195.0,0.4,1.7,44.4
76.0,2.8,0.2,15.8
23.61,2.78,1.94,16.11
390.0,14.2,7.4,68.2
115.0,1.5,6.0,14.0
368.0,23.0,15.0,40.0
170.0,5.0,6.0,25.0
473.0,45.2,26.3,13.9
516.13,6.45,25.81,64.52
30.0,0.5,0.2,6.8
381.0,9.0,35.0,53.6
344.0,1.1,0.2,28.3
45.0,2.2,0.3,10.3
69.0,0.9,0.1,18.1
33.0,2.3,0.5,4.7
117.0,2.0,0.3,28.9
60.0,10.0,1.0,4.0
130.0,0.0,14.0,0.0
36.0,3.5,0.5,6.5
143.0,9.8,1.4,22.8
44.0,3.6,18.0,4.8
41.0,2.0,0.3,7.8
70.0,1.0,2.0,13.0
32.0,1.9,0.3,7.1
59.0,3.0,0.4,13.5
356.0,20.5,4.1,61.6
127.0,1.4,0.2,31.8
15.0,0.6,0.1,3.1
433.33,20.0,50.0,26.67
361.0,8.7,4.5,72.4
145.0,1.2,0.4,34.2
299.0,29.4,3.6,3.2
64.0,4.3,2.3,6.6
350.0,10.0,30.0,20.0
364.0,3.4,0.7,86.3
100.0,18.8,2.2,0.0
60.0,1.0,60.0,13.0
120.0,2.0,4.0,20.0
70.0,0.0,0.0,17.0
0.0,0.1,0.0,0.2
30.0,3.5,0.2,4.0
449.0,11.0,19.7,59.1
186.7,1.6,1.6,39.6
166.0,10.4,4.9,24.1
104.0,3.9,0.6,17.9
28.1,0.0,0.0,6.88
381.7,9.5,9.5,65.8
150.0,14.0,7.7,9.1
24.0,1.3,0.5,4.7
500.0,8.33,16.7,66.7
360.0,8.0,2.3,74.5
304.88,22.2,1.83,53.66
336.0,21.0,18.0,34.0
96.0,19.2,2.0,0.2
326.0,4.0,0.4,76.7
